Station,Stage
0,12.9644
0.13686,12.97436
1.07727,11.57778
1.31726,10.9161
1.55649,10.88641
1.61804,12.95304
1.77635,13.32672
1.82166,10.40433
3.01155,9.9901
6.68159,7.09305
6.83364,7.5001
7.09859,6.83941
7.56821,8.20239
7.60282,6.39434
7.66553,4.48114
8.7789,4.44609
9.14305,4.88781
9.2859,5.12092
9.47599,4.48766
10.42982,4.10719
11.12608,3.05794
11.16118,2.1532
11.20243,2.20355
11.46605,3.30555
11.53188,2.71781
11.65747,3.02217
12.13702,2.67825
12.3671,3.08541
12.69094,2.97126
12.95638,3.01788
12.99709,2.62109
13.53946,2.87774
13.87345,3.04664
13.90428,2.7461
14.04009,2.56421
14.27842,2.89032
14.8564,2.33911
14.87109,2.75401
15.19798,1.70648
15.35208,2.8235
15.70526,2.19998
15.87178,2.00624
16.31972,2.0236
16.32366,1.56867
16.44199,1.61267
16.72591,1.71727
16.96934,1.69874
17.57948,2.02646
18.23116,1.51469
18.75729,1.42314
19.4531,1.08926
20.55221,0.64386
21.79917,0.58675
22.6228,0.51134
23.36197,0.26229
23.69091,0.12998
23.99939,-0.05248
24.12205,-0.10544
24.26906,-0.28441
24.33882,0.03114
24.44828,0.24684
24.56368,-0.03313
24.77678,0.23343
24.84798,-0.23716
24.84887,-0.01597
25.2871,-0.06781
25.37832,0.06058
25.47498,-0.33335
25.68242,-0.05712
25.79443,0.08482
26.25513,0.13769
27.14952,-0.2711
27.9498,-0.88027
28.84025,-1.17245
29.43991,-1.81247
30.05099,-1.85571
30.78108,-1.90039
31.95605,-1.61125
33.43507,-1.9421
34.65191,-2.61888
35.75208,-3.03625
35.87119,-3.62369
35.88705,-3.72373
35.91095,-3.53721
35.95071,-3.67935
36.06095,-3.6535
36.07725,-3.47595
36.09988,-3.59638
36.12455,-3.66473
36.15782,-3.63618
36.3849,-3.47994
36.45959,-3.50024
36.54798,-3.34242
36.70608,-3.54273
36.7739,-3.31553
36.84199,-3.6658
36.8477,-3.58103
36.85286,-3.40119
37.35071,-3.51451
37.5388,-3.63163
37.59597,-3.46022
37.61,-3.74219
37.80098,-3.83054
37.89686,-3.95896
38.23489,-3.89925
38.65561,-4.07586
39.3141,-3.98816
39.50114,-4.11513
39.53547,-4.05857
39.81844,-4.08635
40.20511,-4.39751
40.41738,-4.53264
40.51869,-4.19691
40.63874,-4.32694
40.82667,-4.22886
40.89293,-4.29493
40.96203,-4.69811
41.10282,-4.9379
41.13299,-4.44353
41.18777,-4.58135
41.33045,-4.57588
41.5227,-4.80405
41.67165,-4.67288
42.12064,-4.96386
42.63274,-5.33536
42.82317,-5.28098
43.13448,-5.30174
43.926,-5.66272
44.70266,-5.70175
45.50605,-5.65334
46.14064,-6.41125
46.20325,-6.38335
46.37726,-5.87538
46.454,-6.28997
46.58493,-6.25238
46.7596,-6.61971
46.87594,-6.46657
46.88115,-6.36216
46.93078,-6.40555
46.93134,-6.24611
46.98562,-6.57042
47.0342,-6.32955
47.05372,-6.69884
47.08006,-6.6459
47.09764,-6.65889
47.09913,-6.40964
47.1054,-6.42979
47.1135,-6.08685
47.15858,-5.83522
47.2,-6.56961
47.26854,-6.54074
47.28207,-6.623
47.36758,-6.76966
47.5458,-6.79603
47.57386,-6.32452
47.58817,-6.48481
47.72247,-6.24729
47.85079,-6.18781
48.10365,-6.29676
48.11091,-6.42362
48.26047,-6.65556
48.65091,-6.2371
48.73103,-6.57345
48.74911,-6.31256
48.82114,-6.43957
48.95573,-6.37189
49.25611,-7.00568
49.72302,-7.11336
50.75332,-7.03226
51.70543,-7.37101
52.68166,-7.53545
53.39389,-7.79505
54.2178,-7.98548
55.31303,-7.91588
56.22433,-7.94091
57.22347,-8.02863
57.83522,-8.02152
58.51783,-7.9168
58.54711,-7.98745
59.13668,-7.97093
59.71593,-8.02297
60.57555,-8.08052
61.71764,-7.95278
62.7628,-7.94387
63.41192,-7.84333
64.43025,-7.83835
65.7779,-8.00263
66.65909,-7.94636
67.36516,-8.15911
67.93277,-8.13618
68.87889,-8.05731
69.90043,-7.96912
70.73149,-7.85962
71.59738,-7.89426
72.14463,-7.81176
72.21484,-7.79498
72.75045,-7.77313
73.49916,-7.80215
74.03915,-7.54268
74.58713,-7.6226
75.41997,-7.69477
76.22164,-7.66997
76.87442,-7.66862
77.42794,-7.67994
77.79226,-7.7431
78.29799,-7.74517
78.88118,-7.63857
79.48694,-7.85783
79.87283,-8.05463
80.04955,-7.89404
80.17687,-8.02362
80.30397,-7.65011
80.5738,-7.77428
81.24837,-7.96931
82.24285,-7.96485
82.92469,-8.10929
83.42176,-8.06811
84.03739,-8.19261
84.43471,-7.98797
84.55343,-8.17382
84.71113,-8.31153
85.35455,-8.12647
86.26479,-8.15646
86.86168,-7.6034
87.84057,-7.31958
88.25502,-7.16199
88.66664,-7.96609
89.20841,-7.18126
89.93727,-7.1198
90.46473,-6.93889
91.08729,-6.97261
91.79226,-6.84974
92.95664,-6.92444
94.30008,-6.43064
95.39559,-6.3068
95.98283,-6.07964
96.25388,-6.31298
96.25421,-6.00045
96.26619,-5.8885
96.28526,-6.08253
96.50358,-6.22955
96.51206,-6.12645
96.6599,-6.13464
96.74979,-5.89743
96.89003,-6.04388
96.92258,-5.84787
97.25285,-5.66002
97.48858,-5.56563
97.57053,-5.44216
97.70783,-5.73061
97.74637,-5.82271
97.90874,-5.55663
97.92071,-5.47989
97.94622,-5.62702
97.98021,-5.54312
98.61603,-5.27282
99.67489,-4.87378
100.35151,-4.9924
100.97978,-4.69989
101.164,-4.52267
101.22743,-4.48255
101.43976,-4.53929
101.86752,-4.27531
102.0509,-3.88272
102.26505,-3.83889
102.28252,-4.24911
102.39786,-3.97419
102.4074,-4.15144
103.16121,-3.93091
103.92645,-3.77933
104.51264,-3.3726
104.88522,-3.07659
105.00039,-3.70241
105.07287,-3.02783
105.37115,-2.5309
105.41401,-2.42554
105.74916,-2.0203
105.8044,-2.69057
105.91635,-2.21601
106.00729,-2.46299
106.08498,-2.23645
106.21568,-2.11624
106.22123,-1.96387
106.29182,-2.16434
106.3435,-1.84142
106.35004,-1.77586
106.82089,-2.15048
106.8302,-1.61732
107.05196,-2.55605
108.39612,-2.22647
109.29616,-1.98164
109.80488,-1.63738
110.21982,-1.15828
110.3152,-0.81589
110.34199,-0.94068
110.691,-0.84014
111.38277,-0.59497
112.28037,-0.38747
112.96803,0.39375
113.3857,0.44172
113.71736,0.59449
113.72861,0.59813
113.75806,0.52393
113.92935,0.47554
114.21138,0.66209
114.36786,0.57491
114.68389,0.3507
114.93935,0.62207
114.98094,-0.35709
115.12229,-0.32748
115.16,1.51259
115.20103,1.48035
115.25188,1.30679
115.25582,0.90839
115.26369,1.05159
115.29014,1.46275
115.38685,1.29353
115.41347,0.47687
115.42345,0.81854
115.47674,1.11591
115.64443,1.10296
115.80474,1.20594
116.06925,1.40297
116.31041,1.50165
116.40922,1.25988
116.42608,1.74902
116.55994,0.87314
116.78391,0.99619
117.20174,1.58718
117.48704,1.54566
117.81288,1.83252
118.02155,1.83386
118.17177,2.50326
118.29315,2.09168
118.58161,2.4397
118.67361,2.56337
118.80664,2.36894
118.98176,2.38089
119.02163,3.17059
119.11994,2.44357
119.19469,3.37939
119.26384,3.13021
119.29916,2.54575
119.36238,2.78693
119.37386,2.70615
