,agency_cd,site_no,dateTime,X_00060_00000,X_00060_00000_cd,X_00065_00000,X_00065_00000_cd,tz_cd
190148,USGS,2052090,5/1/2018 0:00,2030,A,13.17,A,UTC
190149,USGS,2052090,5/1/2018 0:15,2020,A,13.16,A,UTC
190150,USGS,2052090,5/1/2018 0:30,2020,A,13.15,A,UTC
190151,USGS,2052090,5/1/2018 0:45,2010,A,13.13,A,UTC
190152,USGS,2052090,5/1/2018 1:00,2010,A,13.12,A,UTC
190153,USGS,2052090,5/1/2018 1:15,2010,A,13.1,A,UTC
190154,USGS,2052090,5/1/2018 1:30,2000,A,13.08,A,UTC
190155,USGS,2052090,5/1/2018 1:45,1990,A,13.06,A,UTC
190156,USGS,2052090,5/1/2018 2:00,1990,A,13.04,A,UTC
190157,USGS,2052090,5/1/2018 2:15,1980,A,13,A,UTC
190158,USGS,2052090,5/1/2018 2:30,1970,A,12.99,A,UTC
190159,USGS,2052090,5/1/2018 2:45,1970,A,12.97,A,UTC
190160,USGS,2052090,5/1/2018 3:00,1950,A,12.93,A,UTC
190161,USGS,2052090,5/1/2018 3:15,1950,A,12.92,A,UTC
190162,USGS,2052090,5/1/2018 3:30,1950,A,12.9,A,UTC
190163,USGS,2052090,5/1/2018 3:45,1930,A,12.86,A,UTC
190164,USGS,2052090,5/1/2018 4:00,1930,A,12.84,A,UTC
190165,USGS,2052090,5/1/2018 4:15,1920,A,12.82,A,UTC
190166,USGS,2052090,5/1/2018 4:30,1910,A,12.78,A,UTC
190167,USGS,2052090,5/1/2018 4:45,1900,A,12.76,A,UTC
190168,USGS,2052090,5/1/2018 5:00,1900,A,12.73,A,UTC
190169,USGS,2052090,5/1/2018 5:15,1880,A,12.69,A,UTC
190170,USGS,2052090,5/1/2018 5:30,1880,A,12.67,A,UTC
190171,USGS,2052090,5/1/2018 5:45,1870,A,12.63,A,UTC
190172,USGS,2052090,5/1/2018 6:00,1860,A,12.61,A,UTC
190173,USGS,2052090,5/1/2018 6:15,1850,A,12.57,A,UTC
190174,USGS,2052090,5/1/2018 6:30,1840,A,12.55,A,UTC
190175,USGS,2052090,5/1/2018 6:45,1830,A,12.51,A,UTC
190176,USGS,2052090,5/1/2018 7:00,1820,A,12.47,A,UTC
190177,USGS,2052090,5/1/2018 7:15,1810,A,12.45,A,UTC
190178,USGS,2052090,5/1/2018 7:30,1800,A,12.41,A,UTC
190179,USGS,2052090,5/1/2018 7:45,1790,A,12.38,A,UTC
190180,USGS,2052090,5/1/2018 8:00,1780,A,12.34,A,UTC
190181,USGS,2052090,5/1/2018 8:15,1770,A,12.3,A,UTC
190182,USGS,2052090,5/1/2018 8:30,1760,A,12.26,A,UTC
190183,USGS,2052090,5/1/2018 8:45,1750,A,12.24,A,UTC
190184,USGS,2052090,5/1/2018 9:00,1740,A,12.2,A,UTC
190185,USGS,2052090,5/1/2018 9:15,1730,A,12.16,A,UTC
190186,USGS,2052090,5/1/2018 9:30,1730,A,12.14,A,UTC
190187,USGS,2052090,5/1/2018 9:45,1710,A,12.09,A,UTC
190188,USGS,2052090,5/1/2018 10:00,1700,A,12.05,A,UTC
190189,USGS,2052090,5/1/2018 10:15,1700,A,12.03,A,UTC
190190,USGS,2052090,5/1/2018 10:30,1680,A,11.98,A,UTC
190191,USGS,2052090,5/1/2018 10:45,1670,A,11.94,A,UTC
190192,USGS,2052090,5/1/2018 11:00,1660,A,11.9,A,UTC
190193,USGS,2052090,5/1/2018 11:15,1650,A,11.86,A,UTC
190194,USGS,2052090,5/1/2018 11:30,1650,A,11.83,A,UTC
190195,USGS,2052090,5/1/2018 11:45,1640,A,11.79,A,UTC
190196,USGS,2052090,5/1/2018 12:00,1630,A,11.76,A,UTC
190197,USGS,2052090,5/1/2018 12:15,1620,A,11.72,A,UTC
190198,USGS,2052090,5/1/2018 12:30,1610,A,11.68,A,UTC
190199,USGS,2052090,5/1/2018 12:45,1600,A,11.64,A,UTC
190200,USGS,2052090,5/1/2018 13:00,1590,A,11.6,A,UTC
190201,USGS,2052090,5/1/2018 13:15,1590,A,11.57,A,UTC
190202,USGS,2052090,5/1/2018 13:30,1580,A,11.55,A,UTC
190203,USGS,2052090,5/1/2018 13:45,1570,A,11.5,A,UTC
190204,USGS,2052090,5/1/2018 14:00,1560,A,11.46,A,UTC
190205,USGS,2052090,5/1/2018 14:15,1550,A,11.42,A,UTC
190206,USGS,2052090,5/1/2018 14:30,1550,A,11.4,A,UTC
190207,USGS,2052090,5/1/2018 14:45,1540,A,11.36,A,UTC
190208,USGS,2052090,5/1/2018 15:00,1530,A,11.31,A,UTC
190209,USGS,2052090,5/1/2018 15:15,1520,A,11.27,A,UTC
190210,USGS,2052090,5/1/2018 15:30,1510,A,11.24,A,UTC
190211,USGS,2052090,5/1/2018 15:45,1500,A,11.2,A,UTC
190212,USGS,2052090,5/1/2018 16:00,1490,A,11.16,A,UTC
190213,USGS,2052090,5/1/2018 16:15,1480,A,11.12,A,UTC
190214,USGS,2052090,5/1/2018 16:30,1480,A,11.09,A,UTC
190215,USGS,2052090,5/1/2018 16:45,1470,A,11.05,A,UTC
190216,USGS,2052090,5/1/2018 17:00,1460,A,11.02,A,UTC
190217,USGS,2052090,5/1/2018 17:15,1450,A,10.98,A,UTC
190218,USGS,2052090,5/1/2018 17:30,1440,A,10.94,A,UTC
190219,USGS,2052090,5/1/2018 17:45,1440,A,10.92,A,UTC
190220,USGS,2052090,5/1/2018 18:00,1430,A,10.88,A,UTC
190221,USGS,2052090,5/1/2018 18:15,1420,A,10.84,A,UTC
190222,USGS,2052090,5/1/2018 18:30,1410,A,10.8,A,UTC
190223,USGS,2052090,5/1/2018 18:45,1410,A,10.78,A,UTC
190224,USGS,2052090,5/1/2018 19:00,1400,A,10.74,A,UTC
190225,USGS,2052090,5/1/2018 19:15,1390,A,10.69,A,UTC
190226,USGS,2052090,5/1/2018 19:30,1380,A,10.66,A,UTC
190227,USGS,2052090,5/1/2018 19:45,1370,A,10.62,A,UTC
190228,USGS,2052090,5/1/2018 20:00,1370,A,10.6,A,UTC
190229,USGS,2052090,5/1/2018 20:15,1360,A,10.56,A,UTC
190230,USGS,2052090,5/1/2018 20:30,1350,A,10.53,A,UTC
190231,USGS,2052090,5/1/2018 20:45,1340,A,10.49,A,UTC
190232,USGS,2052090,5/1/2018 21:00,1330,A,10.44,A,UTC
190233,USGS,2052090,5/1/2018 21:15,1330,A,10.41,A,UTC
190234,USGS,2052090,5/1/2018 21:30,1320,A,10.37,A,UTC
190235,USGS,2052090,5/1/2018 21:45,1310,A,10.36,A,UTC
190236,USGS,2052090,5/1/2018 22:00,1300,A,10.31,A,UTC
190237,USGS,2052090,5/1/2018 22:15,1300,A,10.29,A,UTC
190238,USGS,2052090,5/1/2018 22:30,1290,A,10.25,A,UTC
190239,USGS,2052090,5/1/2018 22:45,1280,A,10.2,A,UTC
190240,USGS,2052090,5/1/2018 23:00,1270,A,10.16,A,UTC
190241,USGS,2052090,5/1/2018 23:15,1270,A,10.15,A,UTC
190242,USGS,2052090,5/1/2018 23:30,1260,A,10.1,A,UTC
