ISO 8601 UTC,Timestamp (UTC-05:00),Value,Approval Level,Grade,Qualifiers
2018-05-01T04:45:00Z,4/30/2018 23:45,12.76,Approved,50,
2018-05-01T05:00:00Z,5/1/2018 0:00,12.73,Approved,50,
2018-05-01T05:15:00Z,5/1/2018 0:15,12.69,Approved,50,
2018-05-01T05:30:00Z,5/1/2018 0:30,12.67,Approved,50,
2018-05-01T05:45:00Z,5/1/2018 0:45,12.63,Approved,50,
2018-05-01T06:00:00Z,5/1/2018 1:00,12.61,Approved,50,
2018-05-01T06:15:00Z,5/1/2018 1:15,12.57,Approved,50,
2018-05-01T06:30:00Z,5/1/2018 1:30,12.55,Approved,50,
2018-05-01T06:45:00Z,5/1/2018 1:45,12.51,Approved,50,
2018-05-01T07:00:00Z,5/1/2018 2:00,12.47,Approved,50,
2018-05-01T07:15:00Z,5/1/2018 2:15,12.45,Approved,50,
2018-05-01T07:30:00Z,5/1/2018 2:30,12.41,Approved,50,
2018-05-01T07:45:00Z,5/1/2018 2:45,12.38,Approved,50,
2018-05-01T08:00:00Z,5/1/2018 3:00,12.34,Approved,50,
2018-05-01T08:15:00Z,5/1/2018 3:15,12.3,Approved,50,
2018-05-01T08:30:00Z,5/1/2018 3:30,12.26,Approved,50,
2018-05-01T08:45:00Z,5/1/2018 3:45,12.24,Approved,50,
2018-05-01T09:00:00Z,5/1/2018 4:00,12.2,Approved,50,
2018-05-01T09:15:00Z,5/1/2018 4:15,12.16,Approved,50,
2018-05-01T09:30:00Z,5/1/2018 4:30,12.14,Approved,50,
2018-05-01T09:45:00Z,5/1/2018 4:45,12.09,Approved,50,
2018-05-01T10:00:00Z,5/1/2018 5:00,12.05,Approved,50,
2018-05-01T10:15:00Z,5/1/2018 5:15,12.03,Approved,50,
2018-05-01T10:30:00Z,5/1/2018 5:30,11.98,Approved,50,
2018-05-01T10:45:00Z,5/1/2018 5:45,11.94,Approved,50,
2018-05-01T11:00:00Z,5/1/2018 6:00,11.9,Approved,50,
2018-05-01T11:15:00Z,5/1/2018 6:15,11.86,Approved,50,
2018-05-01T11:30:00Z,5/1/2018 6:30,11.83,Approved,50,
2018-05-01T11:45:00Z,5/1/2018 6:45,11.79,Approved,50,
2018-05-01T12:00:00Z,5/1/2018 7:00,11.76,Approved,50,
2018-05-01T12:15:00Z,5/1/2018 7:15,11.72,Approved,50,
2018-05-01T12:30:00Z,5/1/2018 7:30,11.68,Approved,50,
2018-05-01T12:45:00Z,5/1/2018 7:45,11.64,Approved,50,
2018-05-01T13:00:00Z,5/1/2018 8:00,11.6,Approved,50,
2018-05-01T13:15:00Z,5/1/2018 8:15,11.57,Approved,50,
2018-05-01T13:30:00Z,5/1/2018 8:30,11.55,Approved,50,
2018-05-01T13:45:00Z,5/1/2018 8:45,11.5,Approved,50,
2018-05-01T14:00:00Z,5/1/2018 9:00,11.46,Approved,50,
2018-05-01T14:15:00Z,5/1/2018 9:15,11.42,Approved,50,
2018-05-01T14:30:00Z,5/1/2018 9:30,11.4,Approved,50,
2018-05-01T14:45:00Z,5/1/2018 9:45,11.36,Approved,50,
2018-05-01T15:00:00Z,5/1/2018 10:00,11.31,Approved,50,
2018-05-01T15:15:00Z,5/1/2018 10:15,11.27,Approved,50,
2018-05-01T15:30:00Z,5/1/2018 10:30,11.24,Approved,50,
2018-05-01T15:45:00Z,5/1/2018 10:45,11.2,Approved,50,
2018-05-01T16:00:00Z,5/1/2018 11:00,11.16,Approved,50,
2018-05-01T16:15:00Z,5/1/2018 11:15,11.12,Approved,50,
2018-05-01T16:30:00Z,5/1/2018 11:30,11.09,Approved,50,
2018-05-01T16:45:00Z,5/1/2018 11:45,11.05,Approved,50,
2018-05-01T17:00:00Z,5/1/2018 12:00,11.02,Approved,50,
2018-05-01T17:15:00Z,5/1/2018 12:15,10.98,Approved,50,
2018-05-01T17:30:00Z,5/1/2018 12:30,10.94,Approved,50,
2018-05-01T17:45:00Z,5/1/2018 12:45,10.92,Approved,50,
2018-05-01T18:00:00Z,5/1/2018 13:00,10.88,Approved,50,
2018-05-01T18:15:00Z,5/1/2018 13:15,10.84,Approved,50,
2018-05-01T18:30:00Z,5/1/2018 13:30,10.8,Approved,50,
2018-05-01T18:45:00Z,5/1/2018 13:45,10.78,Approved,50,
2018-05-01T19:00:00Z,5/1/2018 14:00,10.74,Approved,50,
2018-05-01T19:15:00Z,5/1/2018 14:15,10.69,Approved,50,
2018-05-01T19:30:00Z,5/1/2018 14:30,10.66,Approved,50,
2018-05-01T19:45:00Z,5/1/2018 14:45,10.62,Approved,50,
2018-05-01T20:00:00Z,5/1/2018 15:00,10.6,Approved,50,
2018-05-01T20:15:00Z,5/1/2018 15:15,10.56,Approved,50,
2018-05-01T20:30:00Z,5/1/2018 15:30,10.53,Approved,50,
2018-05-01T20:45:00Z,5/1/2018 15:45,10.49,Approved,50,
2018-05-01T21:00:00Z,5/1/2018 16:00,10.44,Approved,50,
2018-05-01T21:15:00Z,5/1/2018 16:15,10.41,Approved,50,
2018-05-01T21:30:00Z,5/1/2018 16:30,10.37,Approved,50,
2018-05-01T21:45:00Z,5/1/2018 16:45,10.36,Approved,50,
2018-05-01T22:00:00Z,5/1/2018 17:00,10.31,Approved,50,
2018-05-01T22:15:00Z,5/1/2018 17:15,10.29,Approved,50,
2018-05-01T22:30:00Z,5/1/2018 17:30,10.25,Approved,50,
2018-05-01T22:45:00Z,5/1/2018 17:45,10.2,Approved,50,
2018-05-01T23:00:00Z,5/1/2018 18:00,10.16,Approved,50,
2018-05-01T23:15:00Z,5/1/2018 18:15,10.15,Approved,50,
2018-05-01T23:30:00Z,5/1/2018 18:30,10.1,Approved,50,
2018-05-01T23:45:00Z,5/1/2018 18:45,10.06,Approved,50,
2018-05-02T00:00:00Z,5/1/2018 19:00,10.02,Approved,50,
2018-05-02T00:15:00Z,5/1/2018 19:15,9.98,Approved,50,
2018-05-02T00:30:00Z,5/1/2018 19:30,9.95,Approved,50,
2018-05-02T00:45:00Z,5/1/2018 19:45,9.91,Approved,50,
2018-05-02T01:00:00Z,5/1/2018 20:00,9.88,Approved,50,
2018-05-02T01:15:00Z,5/1/2018 20:15,9.84,Approved,50,
2018-05-02T01:30:00Z,5/1/2018 20:30,9.8,Approved,50,
2018-05-02T01:45:00Z,5/1/2018 20:45,9.79,Approved,50,
2018-05-02T02:00:00Z,5/1/2018 21:00,9.74,Approved,50,
2018-05-02T02:15:00Z,5/1/2018 21:15,9.7,Approved,50,
2018-05-02T02:30:00Z,5/1/2018 21:30,9.66,Approved,50,
2018-05-02T02:45:00Z,5/1/2018 21:45,9.62,Approved,50,
