datetime,h,Q_rated,Q_computed
6/1/2015 0:00,26.79,439000,
6/1/2015 1:00,26.78,439000,436188.1949
6/1/2015 2:00,26.75,438000,433609.1328
6/1/2015 3:00,26.78,439000,438134.6427
6/1/2015 4:00,26.76,439000,434464.5024
6/1/2015 5:00,26.77,439000,441138.6174
6/1/2015 6:00,26.71,438000,431633.7581
6/1/2015 7:00,26.64,436000,429363.8191
6/1/2015 8:00,26.58,435000,428784.1383
6/1/2015 9:00,26.66,437000,439025.5828
6/1/2015 10:00,26.49,434000,421174.7107
6/1/2015 11:00,26.56,435000,436053.6114
6/1/2015 12:00,26.55,435000,428027.2992
6/1/2015 13:00,26.49,434000,427501.8764
6/1/2015 14:00,26.47,433000,429905.2018
6/1/2015 15:00,26.45,433000,430026.5661
6/1/2015 16:00,26.33,431000,421202.6902
6/1/2015 17:00,26.26,429000,422959.2721
6/1/2015 18:00,26.17,428000,420444.373
6/1/2015 19:00,26.19,428000,428293.6364
6/1/2015 20:00,26.02,425000,414375.7921
6/1/2015 21:00,25.85,422000,409271.7754
6/1/2015 22:00,25.92,423000,426184.1204
6/1/2015 23:00,25.95,424000,426100.4099
6/2/2015 0:00,25.83,422000,415256.1581
6/2/2015 1:00,25.87,422000,424357.8833
6/2/2015 2:00,25.83,422000,419920.1709
6/2/2015 3:00,25.75,420000,416017.2736
6/2/2015 4:00,25.71,420000,417035.1191
6/2/2015 5:00,25.57,417000,408834.1172
6/2/2015 6:00,25.51,416000,412410.3467
6/2/2015 7:00,25.48,416000,414244.5965
6/2/2015 8:00,25.34,413000,406308.6695
6/2/2015 9:00,25.34,413000,413748.63
6/2/2015 10:00,25.31,412000,412425.014
6/2/2015 11:00,25.28,412000,412429.6178
6/2/2015 12:00,25.21,411000,408261.017
6/2/2015 13:00,25.19,410000,411233.6564
6/2/2015 14:00,25.08,408000,404399.7254
6/2/2015 15:00,25.02,407000,405836.5987
6/2/2015 16:00,24.95,406000,404692.0148
6/2/2015 17:00,24.93,406000,407442.0482
6/2/2015 19:00,24.66,401000,388421.4271
6/2/2015 20:00,24.75,403000,408819.9804
6/2/2015 21:00,24.72,402000,405007.6322
6/2/2015 22:00,24.64,401000,399617.9161
6/2/2015 23:00,24.63,400000,403509.3436
6/3/2015 0:00,24.62,400000,404015.5248
6/3/2015 1:00,24.49,398000,394986.2643
6/3/2015 2:00,24.47,398000,400198.071
6/3/2015 3:00,24.48,398000,402785.4321
6/3/2015 4:00,24.4,397000,396935.4927
6/3/2015 5:00,24.34,395000,396293.0118
6/3/2015 6:00,24.26,394000,394147.9856
6/3/2015 7:00,24.27,394000,399198.9952
6/3/2015 8:00,24.23,394000,396403.9695
6/3/2015 9:00,24.11,391000,390185.4334
6/3/2015 10:00,24.05,390000,391626.1
6/3/2015 11:00,24.01,390000,392902.7344
6/3/2015 12:00,23.93,388000,389507.4944
6/3/2015 13:00,23.86,387000,388616.3253
6/3/2015 14:00,23.87,387000,393312.7181
6/3/2015 15:00,23.71,385000,382079.5627
6/3/2015 16:00,23.73,385000,391047.6979
6/3/2015 17:00,23.64,383000,385166.8367
6/3/2015 18:00,23.57,382000,384393.8374
6/3/2015 19:00,23.56,382000,387768.3032
6/3/2015 20:00,23.43,380000,379429.3235
6/3/2015 21:00,23.41,379000,384606.9422
6/3/2015 22:00,23.45,380000,389077.3494
6/3/2015 23:00,23.32,378000,378841.1456
6/4/2015 0:00,23.33,378000,385072.2915
6/4/2015 1:00,23.25,377000,379975.7207
6/4/2015 2:00,23.25,377000,383771.2547
6/4/2015 3:00,23.25,377000,384392.274
6/4/2015 4:00,23.19,376000,380185.856
6/4/2015 5:00,23.17,375000,381800.2903
6/4/2015 6:00,23.11,374000,378791.5603
6/4/2015 7:00,23.14,375000,383823.1411
6/4/2015 8:00,23.1,374000,380529.1834
