,agency_cd,site_no,dateTime,X_00060_00000,X_00060_00000_cd,X_00065_00000,X_00065_00000_cd,tz_cd
193175,USGS,7010000,6/1/2015 0:00,438000,A,26.73,A,UTC
193176,USGS,7010000,6/1/2015 1:00,438000,A,26.75,A,UTC
193177,USGS,7010000,6/1/2015 2:00,438000,A,26.74,A,UTC
193178,USGS,7010000,6/1/2015 3:00,437000,A,26.66,A,UTC
193179,USGS,7010000,6/1/2015 4:00,437000,A,26.69,A,UTC
193180,USGS,7010000,6/1/2015 5:00,439000,A,26.79,A,UTC
193181,USGS,7010000,6/1/2015 6:00,439000,A,26.78,A,UTC
193182,USGS,7010000,6/1/2015 7:00,438000,A,26.75,A,UTC
193183,USGS,7010000,6/1/2015 8:00,439000,A,26.78,A,UTC
193184,USGS,7010000,6/1/2015 9:00,439000,A,26.76,A,UTC
193185,USGS,7010000,6/1/2015 10:00,439000,A,26.77,A,UTC
193186,USGS,7010000,6/1/2015 11:00,438000,A,26.71,A,UTC
193187,USGS,7010000,6/1/2015 12:00,436000,A,26.64,A,UTC
193188,USGS,7010000,6/1/2015 13:00,435000,A,26.58,A,UTC
193189,USGS,7010000,6/1/2015 14:00,437000,A,26.66,A,UTC
193190,USGS,7010000,6/1/2015 15:00,434000,A,26.49,A,UTC
193191,USGS,7010000,6/1/2015 16:00,435000,A,26.56,A,UTC
193192,USGS,7010000,6/1/2015 17:00,435000,A,26.55,A,UTC
193193,USGS,7010000,6/1/2015 18:00,434000,A,26.49,A,UTC
193194,USGS,7010000,6/1/2015 19:00,433000,A,26.47,A,UTC
193195,USGS,7010000,6/1/2015 20:00,433000,A,26.45,A,UTC
193196,USGS,7010000,6/1/2015 21:00,431000,A,26.33,A,UTC
193197,USGS,7010000,6/1/2015 22:00,429000,A,26.26,A,UTC
193198,USGS,7010000,6/1/2015 23:00,428000,A,26.17,A,UTC
193199,USGS,7010000,6/2/2015 0:00,428000,A,26.19,A,UTC
193200,USGS,7010000,6/2/2015 1:00,425000,A,26.02,A,UTC
193201,USGS,7010000,6/2/2015 2:00,422000,A,25.85,A,UTC
193202,USGS,7010000,6/2/2015 3:00,423000,A,25.92,A,UTC
193203,USGS,7010000,6/2/2015 4:00,424000,A,25.95,A,UTC
193204,USGS,7010000,6/2/2015 5:00,422000,A,25.83,A,UTC
193205,USGS,7010000,6/2/2015 6:00,422000,A,25.87,A,UTC
193206,USGS,7010000,6/2/2015 7:00,422000,A,25.83,A,UTC
193207,USGS,7010000,6/2/2015 8:00,420000,A,25.75,A,UTC
193208,USGS,7010000,6/2/2015 9:00,420000,A,25.71,A,UTC
193209,USGS,7010000,6/2/2015 10:00,417000,A,25.57,A,UTC
193210,USGS,7010000,6/2/2015 11:00,416000,A,25.51,A,UTC
193211,USGS,7010000,6/2/2015 12:00,416000,A,25.48,A,UTC
193212,USGS,7010000,6/2/2015 13:00,413000,A,25.34,A,UTC
193213,USGS,7010000,6/2/2015 14:00,413000,A,25.34,A,UTC
193214,USGS,7010000,6/2/2015 15:00,412000,A,25.31,A,UTC
193215,USGS,7010000,6/2/2015 16:00,412000,A,25.28,A,UTC
193216,USGS,7010000,6/2/2015 17:00,411000,A,25.21,A,UTC
193217,USGS,7010000,6/2/2015 18:00,410000,A,25.19,A,UTC
193218,USGS,7010000,6/2/2015 19:00,408000,A,25.08,A,UTC
193219,USGS,7010000,6/2/2015 20:00,407000,A,25.02,A,UTC
193220,USGS,7010000,6/2/2015 21:00,406000,A,24.95,A,UTC
193221,USGS,7010000,6/2/2015 22:00,406000,A,24.93,A,UTC
193222,USGS,7010000,6/3/2015 0:00,401000,A,24.66,A,UTC
193223,USGS,7010000,6/3/2015 1:00,403000,A,24.75,A,UTC
193224,USGS,7010000,6/3/2015 2:00,402000,A,24.72,A,UTC
193225,USGS,7010000,6/3/2015 3:00,401000,A,24.64,A,UTC
193226,USGS,7010000,6/3/2015 4:00,4.00E+05,A,24.63,A,UTC
193227,USGS,7010000,6/3/2015 5:00,4.00E+05,A,24.62,A,UTC
193228,USGS,7010000,6/3/2015 6:00,398000,A,24.49,A,UTC
193229,USGS,7010000,6/3/2015 7:00,398000,A,24.47,A,UTC
193230,USGS,7010000,6/3/2015 8:00,398000,A,24.48,A,UTC
193231,USGS,7010000,6/3/2015 9:00,397000,A,24.4,A,UTC
193232,USGS,7010000,6/3/2015 10:00,395000,A,24.34,A,UTC
193233,USGS,7010000,6/3/2015 11:00,394000,A,24.26,A,UTC
193234,USGS,7010000,6/3/2015 12:00,394000,A,24.27,A,UTC
193235,USGS,7010000,6/3/2015 13:00,394000,A,24.23,A,UTC
193236,USGS,7010000,6/3/2015 14:00,391000,A,24.11,A,UTC
193237,USGS,7010000,6/3/2015 15:00,390000,A,24.05,A,UTC
193238,USGS,7010000,6/3/2015 16:00,390000,A,24.01,A,UTC
193239,USGS,7010000,6/3/2015 17:00,388000,A,23.93,A,UTC
193240,USGS,7010000,6/3/2015 18:00,387000,A,23.86,A,UTC
193241,USGS,7010000,6/3/2015 19:00,387000,A,23.87,A,UTC
193242,USGS,7010000,6/3/2015 20:00,385000,A,23.71,A,UTC
193243,USGS,7010000,6/3/2015 21:00,385000,A,23.73,A,UTC
193244,USGS,7010000,6/3/2015 22:00,383000,A,23.64,A,UTC
