Station,Stage
0.00,105.99
82.65,85.00
165.30,76.94
247.95,65.87
330.60,54.82
413.25,27.58
495.90,27.47
578.55,27.47
661.20,-9.74
743.85,-19.90
826.50,-61.46
909.14,-88.37
991.79,-103.98
1074.44,-106.90
1157.09,-99.84
1239.74,-86.76
1322.39,-74.44
1405.04,-64.66
1487.69,-47.69
1570.34,-54.82
1652.99,-51.55
1735.64,-46.82
1818.29,-41.04
1900.94,-36.63
1983.59,-37.33
2066.24,-36.05
2148.89,-23.41
2231.54,-10.22
2314.19,-0.01
2396.84,7.48
2479.49,9.24
2562.14,7.54
2644.78,17.17
2727.43,19.63
2810.08,16.16
2892.73,24.72
2975.38,22.55
3058.03,20.25
3140.68,19.46
3223.33,17.66
3305.98,23.56
3388.63,26.15
3471.28,41.73
3553.93,46.33
3636.58,46.50
3719.23,45.74
3801.88,45.76
3884.53,44.68
3967.18,45.44
4049.83,45.88
4132.48,46.27
4215.13,45.86
4297.78,45.21
4380.42,44.69
4463.07,43.34
4545.72,40.00
4628.37,38.34
4711.02,38.16
4793.67,38.35
4876.32,37.63
4958.97,37.76
5041.62,38.31
5124.27,39.24
5206.92,39.83
5289.57,39.90
5372.22,39.25
5454.87,38.85
5537.52,38.85
5620.17,38.85
5702.82,38.76
5785.47,37.60
5868.12,36.63
5950.77,36.41
6033.42,36.05
6116.06,35.37
6198.71,35.46
6281.36,34.91
6364.01,34.41
6446.66,34.27
6529.31,34.44
6611.96,34.70
6694.61,34.60
6777.26,35.02
6859.91,34.99
6942.56,34.94
7025.21,34.82
7107.86,34.47
7190.51,34.32
7273.16,34.09
7355.81,34.92
7438.46,33.25
7521.11,33.30
7603.76,33.28
7686.41,36.77
7769.06,40.03
7851.70,41.64
7934.35,42.02
8017.00,42.09
8099.65,38.38
8182.30,34.62
