# Station, Elevation
0.000000000000000000e+00,8.400000000000000000e+01
8.211058696969696769e+01,8.079675519942669837e+01
1.642211739393939354e+02,1.198896435151515050e+02
2.463317609090909173e+02,1.244374072681818149e+02
3.284423478787878707e+02,2.762859958946921424e+01
4.105529348484848242e+02,2.644306880843194207e+00
4.926635218181818345e+02,-1.979221915305987167e+01
5.747741087878787312e+02,-2.635742106487881742e+01
6.568846957575757415e+02,-3.710820428156301176e+01
7.389952827272727518e+02,-6.693086024764834008e+01
8.211058696969696484e+02,-8.319934645587537148e+01
9.032164566666666587e+02,-6.823905670029346027e+01
9.853270436363636691e+02,-5.313259470793573058e+01
1.067437630606060566e+03,-6.352007630866607713e+01
1.149548217575757462e+03,-6.065780710674710718e+01
1.231658804545454586e+03,-5.523608381075726470e+01
1.313769391515151483e+03,-5.599184284002041778e+01
1.395879978484848380e+03,-5.927632435025495994e+01
1.477990565454545504e+03,-4.926642795584903922e+01
1.560101152424242400e+03,-4.071384753753383734e+01
1.642211739393939297e+03,-3.036399652882283107e+01
1.724322326363636421e+03,-2.331173177033441846e+01
1.806432913333333317e+03,-1.634073053597892056e+01
1.888543500303030214e+03,-1.228391241574072801e+01
1.970654087272727338e+03,-7.681986074963286448e+00
2.052764674242424007e+03,-3.645816650567951456e+00
2.134875261212121131e+03,-4.688806411351314374e+00
2.216985848181818255e+03,7.742378199867860911e-01
2.299096435151514925e+03,1.664093601345634221e+00
2.381207022121212049e+03,1.277782382766946512e+01
2.463317609090909173e+03,1.725785103255926245e+01
2.545428196060605842e+03,1.900347448912807025e+01
2.627538783030302966e+03,2.224553963471913320e+01
2.709649370000000090e+03,2.043934948209272662e+01
2.791759956969696759e+03,1.668277332256852219e+01
2.873870543939393883e+03,2.192206291847199040e+01
2.955981130909091007e+03,1.846657652138947370e+01
3.038091717878787676e+03,2.958543561935948318e+01
3.120202304848484800e+03,3.436038218638814357e+01
3.202312891818181924e+03,4.687422648851637064e+01
3.284423478787878594e+03,4.699087999999999710e+01
3.366534065757575718e+03,4.621579410439399282e+01
3.448644652727272842e+03,4.611037540060777218e+01
3.530755239696969511e+03,4.510450590240813540e+01
3.612865826666666635e+03,4.604409488363384639e+01
3.694976413636363759e+03,4.624798493995397308e+01
3.777087000606060428e+03,4.634624000000000166e+01
3.859197587575757552e+03,4.590101582297910454e+01
3.941308174545454676e+03,4.450245129961868429e+01
4.023418761515151346e+03,4.436432111332035078e+01
4.105529348484848015e+03,4.277469680380136197e+01
4.187639935454545594e+03,3.982548822876958639e+01
4.269750522424242263e+03,3.827640502615335549e+01
4.351861109393938932e+03,3.832263039268684679e+01
4.433971696363636511e+03,3.815015346576834787e+01
4.516082283333333180e+03,3.766908000000000101e+01
4.598192870303029849e+03,3.779222611445337066e+01
4.680303457272727428e+03,3.839049117344778494e+01
4.762414044242424097e+03,3.955931000000000353e+01
4.844524631212120767e+03,4.014896845993528984e+01
4.926635218181818345e+03,4.009493978104549683e+01
5.008745805151515015e+03,3.955931000000000353e+01
5.090856392121211684e+03,3.901313672739151883e+01
5.172966979090909263e+03,3.896393343039550672e+01
5.255077566060605932e+03,3.892286320778300990e+01
5.337188153030302601e+03,3.880133899361766936e+01
5.419298740000000180e+03,3.764519391359848299e+01
5.501409326969696849e+03,3.687644770889506418e+01
5.583519913939393518e+03,3.647149606656199694e+01
5.665630500909091097e+03,3.616414999999999935e+01
5.747741087878787766e+03,3.565572425558348613e+01
5.829851674848484436e+03,3.540135000000000076e+01
5.911962261818182014e+03,3.506198900540596952e+01
5.994072848787878684e+03,3.466622732231731874e+01
6.076183435757575353e+03,3.462480180674668873e+01
6.158294022727272932e+03,3.485509205462499693e+01
6.240404609696969601e+03,3.494758999999999816e+01
6.322515196666666270e+03,3.487905506207668083e+01
6.404625783636363849e+03,3.524976785295752535e+01
6.486736370606060518e+03,3.544191000000000003e+01
6.568846957575757187e+03,3.534926000000000101e+01
6.650957544545454766e+03,3.518025644666102636e+01
6.733068131515151435e+03,3.485821964613423773e+01
6.815178718484848105e+03,3.461637903295810048e+01
6.897289305454545683e+03,3.457780377319505760e+01
6.979399892424242353e+03,3.412127022415676691e+01
7.061510479393939022e+03,3.372945677154993405e+01
7.143621066363636601e+03,3.373774999999999835e+01
7.225731653333333270e+03,3.326750845134851886e+01
7.307842240303029939e+03,3.533272472368278017e+01
7.389952827272727518e+03,3.977017000000000024e+01
7.472063414242424187e+03,4.121495999999999782e+01
7.554174001212120857e+03,4.220517199036594747e+01
7.636284588181818435e+03,4.239446999999999832e+01
7.718395175151515105e+03,3.897360899216471353e+01
7.800505762121211774e+03,3.950170985982096994e+01
7.882616349090909353e+03,4.247007925741876022e+01
7.964726936060606022e+03,4.095421999999999940e+01
8.046837523030302691e+03,4.207424999999999926e+01
8.128948110000000270e+03,4.325719999999999743e+01
