"","agency_cd","site_no","dateTime","X_00060_00000","X_00060_00000_cd","X_00065_00000","X_00065_00000_cd","tz_cd"
"27902","USGS","07289000",2011-04-01 00:00:00,1410000,"A",,,"UTC"
"27903","USGS","07289000",2011-04-01 01:00:00,1410000,"A",,,"UTC"
"27904","USGS","07289000",2011-04-01 02:00:00,1400000,"A",,,"UTC"
"27905","USGS","07289000",2011-04-01 03:00:00,1410000,"A",,,"UTC"
"27906","USGS","07289000",2011-04-01 04:00:00,1400000,"A",,,"UTC"
"27907","USGS","07289000",2011-04-01 05:00:00,1420000,"A",,,"UTC"
"27908","USGS","07289000",2011-04-01 06:00:00,1410000,"A",,,"UTC"
"27909","USGS","07289000",2011-04-01 07:00:00,1410000,"A",,,"UTC"
"27910","USGS","07289000",2011-04-01 08:00:00,1410000,"A",,,"UTC"
"27911","USGS","07289000",2011-04-01 09:00:00,1410000,"A",,,"UTC"
"27912","USGS","07289000",2011-04-01 10:00:00,1420000,"A",,,"UTC"
"27913","USGS","07289000",2011-04-01 11:00:00,1400000,"A",,,"UTC"
"27914","USGS","07289000",2011-04-01 12:00:00,1400000,"A",,,"UTC"
"27915","USGS","07289000",2011-04-01 13:00:00,1410000,"A",,,"UTC"
"27916","USGS","07289000",2011-04-01 14:00:00,1400000,"A",,,"UTC"
"27917","USGS","07289000",2011-04-01 15:00:00,1400000,"A",,,"UTC"
"27918","USGS","07289000",2011-04-01 16:00:00,1410000,"A",,,"UTC"
"27919","USGS","07289000",2011-04-01 17:00:00,1400000,"A",,,"UTC"
"27920","USGS","07289000",2011-04-01 18:00:00,1390000,"A",,,"UTC"
"27921","USGS","07289000",2011-04-01 19:00:00,1390000,"A",,,"UTC"
"27922","USGS","07289000",2011-04-01 20:00:00,1390000,"A",,,"UTC"
"27923","USGS","07289000",2011-04-01 21:00:00,1390000,"A",,,"UTC"
"27924","USGS","07289000",2011-04-01 22:00:00,1400000,"A",,,"UTC"
"27925","USGS","07289000",2011-04-01 23:00:00,1390000,"A",,,"UTC"
"27926","USGS","07289000",2011-04-02 00:00:00,1400000,"A",,,"UTC"
"27927","USGS","07289000",2011-04-02 01:00:00,1390000,"A",,,"UTC"
"27928","USGS","07289000",2011-04-02 02:00:00,1400000,"A",,,"UTC"
"27929","USGS","07289000",2011-04-02 03:00:00,1390000,"A",,,"UTC"
"27930","USGS","07289000",2011-04-02 04:00:00,1410000,"A",,,"UTC"
