ISO 8601 UTC,Timestamp (UTC-06:00),Value,Approval Level,Grade,Qualifiers
2011-04-01T00:00:00Z,3/31/2011 18:00,43.22,Approved,50,
2011-04-01T01:00:00Z,3/31/2011 19:00,43.2,Approved,50,
2011-04-01T02:00:00Z,3/31/2011 20:00,43.13,Approved,50,
2011-04-01T03:00:00Z,3/31/2011 21:00,43.14,Approved,50,
2011-04-01T04:00:00Z,3/31/2011 22:00,43.11,Approved,50,
2011-04-01T05:00:00Z,3/31/2011 23:00,43.24,Approved,50,
2011-04-01T06:00:00Z,4/1/2011 0:00,43.14,Approved,50,
2011-04-01T07:00:00Z,4/1/2011 1:00,43.14,Approved,50,
2011-04-01T08:00:00Z,4/1/2011 2:00,43.16,Approved,50,
2011-04-01T09:00:00Z,4/1/2011 3:00,43.19,Approved,50,
2011-04-01T10:00:00Z,4/1/2011 4:00,43.24,Approved,50,
2011-04-01T11:00:00Z,4/1/2011 5:00,43.13,Approved,50,
2011-04-01T12:00:00Z,4/1/2011 6:00,43.05,Approved,50,
2011-04-01T13:00:00Z,4/1/2011 7:00,43.19,Approved,50,
2011-04-01T14:00:00Z,4/1/2011 8:00,43.13,Approved,50,
2011-04-01T15:00:00Z,4/1/2011 9:00,43.1,Approved,50,
2011-04-01T16:00:00Z,4/1/2011 10:00,43.19,Approved,50,
2011-04-01T17:00:00Z,4/1/2011 11:00,43.06,Approved,50,
2011-04-01T18:00:00Z,4/1/2011 12:00,43.04,Approved,50,
2011-04-01T19:00:00Z,4/1/2011 13:00,42.99,Approved,50,
2011-04-01T20:00:00Z,4/1/2011 14:00,42.97,Approved,50,
2011-04-01T21:00:00Z,4/1/2011 15:00,43.03,Approved,50,
2011-04-01T22:00:00Z,4/1/2011 16:00,43.11,Approved,50,
2011-04-01T23:00:00Z,4/1/2011 17:00,43.02,Approved,50,
2011-04-02T00:00:00Z,4/1/2011 18:00,43.06,Approved,50,
2011-04-02T01:00:00Z,4/1/2011 19:00,43.04,Approved,50,
2011-04-02T02:00:00Z,4/1/2011 20:00,43.09,Approved,50,
2011-04-02T03:00:00Z,4/1/2011 21:00,43.01,Approved,50,
2011-04-02T04:00:00Z,4/1/2011 22:00,43.15,Approved,50,
2011-04-02T05:00:00Z,4/1/2011 23:00,43.16,Approved,50,
2011-04-02T06:00:00Z,4/2/2011 0:00,43,Approved,50,
2011-04-02T07:00:00Z,4/2/2011 1:00,42.99,Approved,50,
2011-04-02T08:00:00Z,4/2/2011 2:00,42.99,Approved,50,
2011-04-02T09:00:00Z,4/2/2011 3:00,42.91,Approved,50,
2011-04-02T10:00:00Z,4/2/2011 4:00,42.97,Approved,50,
2011-04-02T11:00:00Z,4/2/2011 5:00,42.94,Approved,50,
2011-04-02T12:00:00Z,4/2/2011 6:00,42.86,Approved,50,
2011-04-02T13:00:00Z,4/2/2011 7:00,42.93,Approved,50,
2011-04-02T14:00:00Z,4/2/2011 8:00,42.92,Approved,50,
2011-04-02T15:00:00Z,4/2/2011 9:00,42.89,Approved,50,
2011-04-02T16:00:00Z,4/2/2011 10:00,42.91,Approved,50,
2011-04-02T17:00:00Z,4/2/2011 11:00,42.88,Approved,50,
2011-04-02T18:00:00Z,4/2/2011 12:00,42.91,Approved,50,
2011-04-02T19:00:00Z,4/2/2011 13:00,42.91,Approved,50,
2011-04-02T20:00:00Z,4/2/2011 14:00,42.94,Approved,50,
2011-04-02T21:00:00Z,4/2/2011 15:00,42.85,Approved,50,
2011-04-02T22:00:00Z,4/2/2011 16:00,42.79,Approved,50,
2011-04-02T23:00:00Z,4/2/2011 17:00,42.82,Approved,50,
2011-04-03T00:00:00Z,4/2/2011 18:00,42.81,Approved,50,
2011-04-03T01:00:00Z,4/2/2011 19:00,42.81,Approved,50,
2011-04-03T02:00:00Z,4/2/2011 20:00,42.84,Approved,50,
2011-04-03T03:00:00Z,4/2/2011 21:00,42.86,Approved,50,
2011-04-03T04:00:00Z,4/2/2011 22:00,42.89,Approved,50,
2011-04-03T05:00:00Z,4/2/2011 23:00,42.94,Approved,50,
2011-04-03T06:00:00Z,4/3/2011 0:00,42.77,Approved,50,
2011-04-03T07:00:00Z,4/3/2011 1:00,42.85,Approved,50,
2011-04-03T08:00:00Z,4/3/2011 2:00,42.77,Approved,50,
2011-04-03T09:00:00Z,4/3/2011 3:00,42.69,Approved,50,
2011-04-03T10:00:00Z,4/3/2011 4:00,42.77,Approved,50,
2011-04-03T11:00:00Z,4/3/2011 5:00,42.72,Approved,50,
2011-04-03T12:00:00Z,4/3/2011 6:00,42.76,Approved,50,
2011-04-03T13:00:00Z,4/3/2011 7:00,42.73,Approved,50,
2011-04-03T14:00:00Z,4/3/2011 8:00,42.79,Approved,50,
2011-04-03T15:00:00Z,4/3/2011 9:00,42.75,Approved,50,
2011-04-03T16:00:00Z,4/3/2011 10:00,42.75,Approved,50,
2011-04-03T17:00:00Z,4/3/2011 11:00,42.73,Approved,50,
2011-04-03T18:00:00Z,4/3/2011 12:00,42.65,Approved,50,
2011-04-03T19:00:00Z,4/3/2011 13:00,42.65,Approved,50,
2011-04-03T20:00:00Z,4/3/2011 14:00,42.55,Approved,50,
2011-04-03T21:00:00Z,4/3/2011 15:00,42.56,Approved,50,
2011-04-03T22:00:00Z,4/3/2011 16:00,42.62,Approved,50,
2011-04-03T23:00:00Z,4/3/2011 17:00,42.48,Approved,50,
2011-04-04T00:00:00Z,4/3/2011 18:00,42.57,Approved,50,
2011-04-04T01:00:00Z,4/3/2011 19:00,42.51,Approved,50,
2011-04-04T02:00:00Z,4/3/2011 20:00,42.55,Approved,50,
2011-04-04T03:00:00Z,4/3/2011 21:00,42.53,Approved,50,
2011-04-04T04:00:00Z,4/3/2011 22:00,42.53,Approved,50,
2011-04-04T05:00:00Z,4/3/2011 23:00,42.58,Approved,50,
2011-04-04T06:00:00Z,4/4/2011 0:00,42.52,Approved,50,
2011-04-04T07:00:00Z,4/4/2011 1:00,42.45,Approved,50,
2011-04-04T08:00:00Z,4/4/2011 2:00,42.55,Approved,50,
2011-04-04T09:00:00Z,4/4/2011 3:00,42.41,Approved,50,
2011-04-04T10:00:00Z,4/4/2011 4:00,42.53,Approved,50,
2011-04-04T11:00:00Z,4/4/2011 5:00,42.42,Approved,50,
2011-04-04T12:00:00Z,4/4/2011 6:00,42.5,Approved,50,
2011-04-04T13:00:00Z,4/4/2011 7:00,42.32,Approved,50,
